N,M,load,seed,target_degree,method,param,actual_degree,n_fixed,frac_fixed,sparse_lut,compression,recall_00,recall_15,recall_30
16,4,0.25,42,4,storkey_posthoc,s=1.100,4.62,3,0.75,728,1440.4,0.7133,0.64,0.1933
16,4,0.25,42,4,storkey_l1,lam=1.000,10.88,3,0.75,34816,30.1,0.72,0.5233,0.3267
16,4,0.25,42,4,storkey_retrain,s=1.100,4.62,3,0.75,728,1440.4,0.7333,0.6367,0.1833
16,4,0.25,42,4,pseudo_posthoc,s=1.108,3.88,3,0.75,472,2221.6,0.7067,0.4633,0.11
16,4,0.25,42,4,pseudo_retrain,s=1.108,3.38,3,0.75,412,2545.1,0.8033,0.5067,0.1
16,4,0.25,42,5,storkey_posthoc,s=0.938,5.0,4,1.0,976,1074.4,1.0,0.6733,0.2367
16,4,0.25,42,5,storkey_l1,lam=1.000,10.88,3,0.75,34816,30.1,0.73,0.58,0.3267
16,4,0.25,42,5,storkey_retrain,s=0.938,5.0,4,1.0,976,1074.4,1.0,0.6867,0.21
16,4,0.25,42,5,pseudo_posthoc,s=0.968,4.62,3,0.75,2784,376.6,0.74,0.5733,0.24
16,4,0.25,42,5,pseudo_retrain,s=0.968,3.75,2,0.5,2240,468.1,0.5267,0.25,0.0367
16,4,0.25,42,6,storkey_posthoc,s=0.790,5.75,4,1.0,2016,520.1,1.0,0.8233,0.25
16,4,0.25,42,6,storkey_l1,lam=1.000,10.88,3,0.75,34816,30.1,0.7167,0.52,0.3233
16,4,0.25,42,6,storkey_retrain,s=0.790,5.75,4,1.0,2016,520.1,1.0,0.71,0.1967
16,4,0.25,42,6,pseudo_posthoc,s=0.743,5.62,4,1.0,4944,212.1,1.0,0.7333,0.2
16,4,0.25,42,6,pseudo_retrain,s=0.743,4.38,4,1.0,4256,246.4,1.0,0.5667,0.13
16,4,0.25,42,8,storkey_posthoc,s=0.676,7.25,4,1.0,7040,148.9,1.0,0.8267,0.3233
16,4,0.25,42,8,storkey_l1,lam=1.000,10.88,3,0.75,34816,30.1,0.74,0.5767,0.3
16,4,0.25,42,8,storkey_retrain,s=0.676,7.25,4,1.0,7040,148.9,1.0,0.8267,0.2133
16,4,0.25,42,8,pseudo_posthoc,s=0.561,7.88,4,1.0,40576,25.8,1.0,0.81,0.2633
16,4,0.25,42,8,pseudo_retrain,s=0.561,7.88,4,1.0,40576,25.8,1.0,0.7767,0.1733
16,4,0.25,42,10,storkey_posthoc,s=0.469,10.0,3,0.75,33984,30.9,0.7667,0.6933,0.3
16,4,0.25,42,10,storkey_l1,lam=1.000,10.88,3,0.75,34816,30.1,0.7567,0.51,0.3067
16,4,0.25,42,10,storkey_retrain,s=0.469,10.0,4,1.0,33984,30.9,1.0,0.7933,0.2567
16,4,0.25,42,10,pseudo_posthoc,s=0.449,10.88,4,1.0,151744,6.9,1.0,0.8967,0.3033
16,4,0.25,42,10,pseudo_retrain,s=0.449,10.88,4,1.0,151744,6.9,1.0,0.8733,0.31
