N,M,load,target_degree,method,actual_degree,n_fixed,frac_fixed,sparse_lut,compression,recall_00,recall_15,recall_30
32,8,0.25,6,pseudo_posthoc,6.06,2,0.25,7272,18899746.1,0.21,0.095,0.01
32,8,0.25,6,l1svm_g1,4.81,6,0.75,1224,112286726.7,0.76,0.105,0.015
32,8,0.25,6,l1svm_g0.5,4.81,6,0.75,1224,112286726.7,0.785,0.185,0.02
32,8,0.25,6,perceptron_l1,5.38,3,0.375,1872,73418244.4,0.38,0.11,0.005
32,8,0.25,6,rigl,10.56,8,1.0,196288,700190.3,1.0,0.06,0.01
32,8,0.25,8,pseudo_posthoc,7.94,6,0.75,23328,5891587.5,0.79,0.325,0.055
32,8,0.25,8,l1svm_g1,6.25,8,1.0,4088,33620096.3,1.0,0.235,0.01
32,8,0.25,8,l1svm_g0.5,6.25,8,1.0,4088,33620096.3,1.0,0.22,0.025
32,8,0.25,8,perceptron_l1,7.19,6,0.75,6336,21691754.0,0.74,0.395,0.065
32,8,0.25,8,rigl,15.25,8,1.0,19968000,6883.0,1.0,0.33,0.03
32,8,0.25,10,pseudo_posthoc,9.94,7,0.875,82048,1675104.2,0.885,0.51,0.085
32,8,0.25,10,l1svm_g1,7.88,8,1.0,16096,8538702.4,1.0,0.25,0.015
32,8,0.25,10,l1svm_g0.5,7.88,8,1.0,16096,8538702.4,1.0,0.305,0.045
32,8,0.25,10,perceptron_l1,9.12,8,1.0,25984,5289368.6,1.0,0.57,0.15
32,8,0.25,10,rigl,17.5,8,1.0,25944064,5297.5,1.0,0.655,0.17
32,8,0.25,12,pseudo_posthoc,12.06,8,1.0,1372032,100171.8,1.0,0.71,0.19
32,8,0.25,12,l1svm_g1,9.0,8,1.0,50984,2695727.2,1.0,0.365,0.03
32,8,0.25,12,l1svm_g0.5,9.0,8,1.0,50984,2695727.2,1.0,0.375,0.045
32,8,0.25,12,perceptron_l1,11.0,8,1.0,95488,1439332.2,1.0,0.59,0.145
32,8,0.25,12,rigl,20.81,8,1.0,431652864,318.4,1.0,0.755,0.255
32,8,0.25,14,pseudo_posthoc,13.94,8,1.0,4598272,29889.3,1.0,0.77,0.155
32,8,0.25,14,l1svm_g1,9.69,8,1.0,134024,1025480.2,1.0,0.37,0.07
32,8,0.25,14,l1svm_g0.5,9.69,8,1.0,134024,1025480.2,1.0,0.43,0.035
32,8,0.25,14,perceptron_l1,13.12,8,1.0,421376,326167.0,1.0,0.715,0.22
32,8,0.25,14,rigl,24.44,8,1.0,3011772416,45.6,1.0,0.85,0.315
