rule,N,M,load,s,threshold,pct_zeroed,W_mean,W_std,n_fixed,frac_fixed,mean_degree,max_degree,sparse_lut,compression,noise_frac,n_flip,recall_A,recall_D,agree_AD,mean_sweeps,converge_frac
hebbian,16,4,0.25,0.0,0.0,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.0,0,1.0,1.0,1.0,1.0,1.0
hebbian,16,4,0.25,0.0,0.0,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.05,1,0.99,0.955,0.955,2.0,1.0
hebbian,16,4,0.25,0.0,0.0,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.1,2,0.88,0.855,0.91,2.01,1.0
hebbian,16,4,0.25,0.0,0.0,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.15,2,0.905,0.86,0.89,2.0,1.0
hebbian,16,4,0.25,0.0,0.0,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.2,3,0.825,0.725,0.83,2.02,1.0
hebbian,16,4,0.25,0.0,0.0,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.25,4,0.675,0.58,0.69,2.04,1.0
hebbian,16,4,0.25,0.0,0.0,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.3,5,0.475,0.415,0.705,2.12,1.0
hebbian,16,4,0.25,0.0,0.0,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.35,6,0.24,0.225,0.57,2.11,1.0
hebbian,16,4,0.25,0.0,0.0,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.4,6,0.28,0.295,0.64,2.14,1.0
hebbian,16,4,0.25,0.1,0.015421,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.0,0,1.0,1.0,1.0,1.0,1.0
hebbian,16,4,0.25,0.1,0.015421,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.05,1,0.98,0.945,0.945,2.0,1.0
hebbian,16,4,0.25,0.1,0.015421,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.1,2,0.95,0.845,0.895,2.0,1.0
hebbian,16,4,0.25,0.1,0.015421,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.15,2,0.855,0.79,0.835,2.02,1.0
hebbian,16,4,0.25,0.1,0.015421,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.2,3,0.76,0.665,0.78,2.04,1.0
hebbian,16,4,0.25,0.1,0.015421,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.25,4,0.625,0.57,0.77,2.09,1.0
hebbian,16,4,0.25,0.1,0.015421,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.3,5,0.49,0.495,0.695,2.13,1.0
hebbian,16,4,0.25,0.1,0.015421,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.35,6,0.26,0.285,0.605,2.17,1.0
hebbian,16,4,0.25,0.1,0.015421,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.4,6,0.25,0.285,0.65,2.1,1.0
hebbian,16,4,0.25,0.25,0.038553,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.0,0,1.0,1.0,1.0,1.0,1.0
hebbian,16,4,0.25,0.25,0.038553,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.05,1,0.985,0.945,0.945,2.0,1.0
hebbian,16,4,0.25,0.25,0.038553,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.1,2,0.895,0.855,0.895,2.0,1.0
hebbian,16,4,0.25,0.25,0.038553,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.15,2,0.905,0.81,0.84,2.0,1.0
hebbian,16,4,0.25,0.25,0.038553,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.2,3,0.855,0.745,0.83,2.02,1.0
hebbian,16,4,0.25,0.25,0.038553,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.25,4,0.635,0.585,0.805,2.06,1.0
hebbian,16,4,0.25,0.25,0.038553,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.3,5,0.515,0.44,0.735,2.19,1.0
hebbian,16,4,0.25,0.25,0.038553,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.35,6,0.265,0.255,0.6,2.11,1.0
hebbian,16,4,0.25,0.25,0.038553,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.4,6,0.23,0.25,0.625,2.16,1.0
hebbian,16,4,0.25,0.5,0.077106,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.0,0,1.0,1.0,1.0,1.0,1.0
hebbian,16,4,0.25,0.5,0.077106,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.05,1,0.995,0.93,0.93,2.0,1.0
hebbian,16,4,0.25,0.5,0.077106,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.1,2,0.94,0.88,0.885,2.0,1.0
hebbian,16,4,0.25,0.5,0.077106,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.15,2,0.905,0.845,0.885,2.0,1.0
hebbian,16,4,0.25,0.5,0.077106,0.0,-0.016026,0.154213,4,1.0,9.75,11,16896,62.1,0.2,3,0.815,0.765,0.87,2.03,1.0
