rule,N,M,load,s,threshold,pct_zeroed,W_mean,W_std,n_fixed,frac_fixed,mean_degree,noise_frac,n_flip,recall,mean_sweeps,converge_frac
storkey,32,1,0.0312,0.0,0.0,0.0,-0.000504,0.031246,1,1.0,31.0,0.0,0,1.0,1.0,1.0
storkey,32,1,0.0312,0.0,0.0,0.0,-0.000504,0.031246,1,1.0,31.0,0.1,3,1.0,2.0,1.0
storkey,32,1,0.0312,0.0,0.0,0.0,-0.000504,0.031246,1,1.0,31.0,0.2,6,1.0,2.0,1.0
storkey,32,1,0.0312,0.0,0.0,0.0,-0.000504,0.031246,1,1.0,31.0,0.3,10,1.0,2.0,1.0
storkey,32,1,0.0312,0.5,0.015623,0.0,-0.000504,0.031246,1,1.0,31.0,0.0,0,1.0,1.0,1.0
storkey,32,1,0.0312,0.5,0.015623,0.0,-0.000504,0.031246,1,1.0,31.0,0.1,3,1.0,2.0,1.0
storkey,32,1,0.0312,0.5,0.015623,0.0,-0.000504,0.031246,1,1.0,31.0,0.2,6,1.0,2.0,1.0
storkey,32,1,0.0312,0.5,0.015623,0.0,-0.000504,0.031246,1,1.0,31.0,0.3,10,1.0,2.0,1.0
storkey,32,1,0.0312,1.0,0.031246,0.0,-0.000504,0.031246,1,1.0,31.0,0.0,0,1.0,1.0,1.0
storkey,32,1,0.0312,1.0,0.031246,0.0,-0.000504,0.031246,1,1.0,31.0,0.1,3,1.0,2.0,1.0
storkey,32,1,0.0312,1.0,0.031246,0.0,-0.000504,0.031246,1,1.0,31.0,0.2,6,1.0,2.0,1.0
storkey,32,1,0.0312,1.0,0.031246,0.0,-0.000504,0.031246,1,1.0,31.0,0.3,10,1.0,2.0,1.0
storkey,32,3,0.0938,0.0,0.0,0.0,-0.001418,0.050118,3,1.0,31.0,0.0,0,1.0,1.0,1.0
storkey,32,3,0.0938,0.0,0.0,0.0,-0.001418,0.050118,3,1.0,31.0,0.1,3,1.0,2.0,1.0
storkey,32,3,0.0938,0.0,0.0,0.0,-0.001418,0.050118,3,1.0,31.0,0.2,6,1.0,2.02,1.0
storkey,32,3,0.0938,0.0,0.0,0.0,-0.001418,0.050118,3,1.0,31.0,0.3,10,0.76,2.15,1.0
storkey,32,3,0.0938,0.5,0.025059,54.5,-0.003134,0.072753,3,1.0,13.56,0.0,0,1.0,1.0,1.0
storkey,32,3,0.0938,0.5,0.025059,54.5,-0.003134,0.072753,3,1.0,13.56,0.1,3,1.0,2.0,1.0
storkey,32,3,0.0938,0.5,0.025059,54.5,-0.003134,0.072753,3,1.0,13.56,0.2,6,1.0,2.01,1.0
storkey,32,3,0.0938,0.5,0.025059,54.5,-0.003134,0.072753,3,1.0,13.56,0.3,10,0.8,2.1,1.0
storkey,32,3,0.0938,1.0,0.050118,66.2,0.001015,0.080525,2,0.6667,9.81,0.0,0,0.67,1.33,1.0
storkey,32,3,0.0938,1.0,0.050118,66.2,0.001015,0.080525,2,0.6667,9.81,0.1,3,0.73,2.01,1.0
storkey,32,3,0.0938,1.0,0.050118,66.2,0.001015,0.080525,2,0.6667,9.81,0.2,6,0.68,2.08,1.0
storkey,32,3,0.0938,1.0,0.050118,66.2,0.001015,0.080525,2,0.6667,9.81,0.3,10,0.54,2.1,1.0
storkey,32,5,0.1562,0.0,0.0,0.0,-0.002565,0.061638,5,1.0,31.0,0.0,0,1.0,1.0,1.0
storkey,32,5,0.1562,0.0,0.0,0.0,-0.002565,0.061638,5,1.0,31.0,0.1,3,1.0,2.02,1.0
storkey,32,5,0.1562,0.0,0.0,0.0,-0.002565,0.061638,5,1.0,31.0,0.2,6,0.93,2.18,1.0
storkey,32,5,0.1562,0.0,0.0,0.0,-0.002565,0.061638,5,1.0,31.0,0.3,10,0.57,2.62,1.0
storkey,32,5,0.1562,0.5,0.030819,38.5,-0.004277,0.077782,5,1.0,18.69,0.0,0,1.0,1.0,1.0
storkey,32,5,0.1562,0.5,0.030819,38.5,-0.004277,0.077782,5,1.0,18.69,0.1,3,1.0,2.02,1.0
