experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct
adversarial,depth,,2,0.3125,5,b4b1,a6b6,True,17,correct,2,True
adversarial,depth,,3,0.4375,7,324f,235b,False,740,oscillated,-1,False
adversarial,depth,,0,0.375,6,fbe0,f8a4,False,740,oscillated,-1,False
adversarial,depth,,0,0.4375,7,d00a,d94b,False,740,oscillated,-1,False
adversarial,depth,,2,0.375,6,303e,7826,False,740,oscillated,-1,False
adversarial,depth,,2,0.5,8,c5fb,e4fa,False,740,oscillated,-1,False
adversarial,depth,,2,0.4375,7,601e,235b,False,740,oscillated,-1,False
adversarial,depth,,2,0.3125,5,263b,a75b,True,7,spurious,-1,False
adversarial,depth,,0,0.4375,7,f5c8,ec6a,False,740,oscillated,-1,False
adversarial,depth,,1,0.4375,7,91d8,42f8,True,15,spurious,-1,False
adversarial,depth,,3,0.375,6,3d6a,fd4b,True,11,spurious,-1,False
adversarial,depth,,3,0.4375,7,1e6f,1d07,False,740,oscillated,-1,False
adversarial,depth,,1,0.375,6,bce,42f8,True,17,spurious,-1,False
adversarial,depth,,0,0.4375,7,ea8b,fca6,True,17,correct,0,True
adversarial,depth,,1,0.4375,7,33da,62fa,False,740,oscillated,-1,False
adversarial,depth,,2,0.375,6,878a,a6b6,True,13,correct,2,True
adversarial,depth,,1,0.4375,7,d13d,1905,True,16,spurious,-1,False
adversarial,depth,,1,0.375,6,2f75,2759,False,740,oscillated,-1,False
adversarial,depth,,3,0.4375,7,296d,5149,False,740,oscillated,-1,False
adversarial,depth,,2,0.375,6,2454,2759,False,740,oscillated,-1,False
adversarial,depth,,3,0.375,6,a8c3,e6fa,True,17,spurious,-1,False
adversarial,depth,,0,0.5625,9,860,5068,False,740,oscillated,-1,False
adversarial,depth,,2,0.3125,5,3786,aeb6,False,740,oscillated,-1,False
adversarial,depth,,1,0.375,6,1510,359,True,21,spurious,-1,False
adversarial,depth,,0,0.4375,7,58c3,58a4,True,16,spurious,-1,False
adversarial,depth,,3,0.375,6,ac19,a75b,True,16,spurious,-1,False
adversarial,depth,,1,0.4375,7,d9f9,5868,True,9,spurious,-1,False
adversarial,depth,,0,0.375,6,68ea,706a,False,740,oscillated,-1,False
adversarial,depth,,3,0.5,8,584b,5949,True,4,spurious,-1,False
adversarial,depth,,0,0.5,8,7970,5949,True,7,spurious,-1,False
adversarial,depth,,2,0.5,8,206c,42f8,True,13,spurious,-1,False
adversarial,depth,,0,0.375,6,b0ef,e6fa,True,16,spurious,-1,False
