experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct
extreme_noise,depth,,0,0.6,10,b949,f949,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,5,58ee,58a4,True,11,spurious,-1,False
extreme_noise,depth,,0,0.6,11,9d5,395,True,17,spurious,-1,False
extreme_noise,depth,,0,0.6,9,20e8,42f8,True,13,spurious,-1,False
extreme_noise,depth,,0,0.6,10,af48,a75b,True,14,spurious,-1,False
extreme_noise,depth,,0,0.6,10,a1c1,a3d9,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,7,c1e7,d8ea,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,11,8bc1,395,True,21,spurious,-1,False
extreme_noise,depth,,0,0.6,10,c70d,8759,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,9,9744,8759,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,10,43c2,42f8,True,15,spurious,-1,False
extreme_noise,depth,,0,0.6,9,d3e1,58a4,True,17,spurious,-1,False
extreme_noise,depth,,0,0.6,8,4e6f,554b,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,8,943b,a75b,True,18,spurious,-1,False
extreme_noise,depth,,0,0.6,6,ff6c,fd4b,True,7,spurious,-1,False
extreme_noise,depth,,0,0.6,7,66bf,e6fa,True,16,spurious,-1,False
extreme_noise,depth,,0,0.6,8,4287,58a4,True,17,spurious,-1,False
extreme_noise,depth,,0,0.6,7,608f,78ea,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,11,49db,359,True,21,spurious,-1,False
extreme_noise,depth,,0,0.6,5,7d6e,fd4b,True,7,spurious,-1,False
extreme_noise,depth,,0,0.6,13,308,359,True,6,spurious,-1,False
extreme_noise,depth,,0,0.6,10,2b28,359,True,18,spurious,-1,False
extreme_noise,depth,,0,0.6,9,2164,359,True,14,spurious,-1,False
extreme_noise,depth,,0,0.6,8,4106,5949,True,7,spurious,-1,False
extreme_noise,depth,,0,0.6,8,83a4,2b4,True,5,spurious,-1,False
extreme_noise,depth,,0,0.6,9,c411,8759,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,11,4041,5949,True,7,spurious,-1,False
extreme_noise,depth,,0,0.6,13,4749,359,True,15,spurious,-1,False
extreme_noise,depth,,0,0.6,12,599,395,True,21,spurious,-1,False
extreme_noise,depth,,0,0.6,11,a73,359,True,7,spurious,-1,False
extreme_noise,depth,,0,0.6,11,afd,2b4,True,17,spurious,-1,False
extreme_noise,depth,,0,0.6,9,5d09,5949,True,6,spurious,-1,False
extreme_noise,depth,,0,0.6,10,4dc9,5149,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,7,98c0,58a4,True,14,spurious,-1,False
extreme_noise,depth,,0,0.6,7,df3c,dd49,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,8,147e,44fa,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,9,ab6f,a75b,True,16,spurious,-1,False
extreme_noise,depth,,0,0.6,6,ae85,b6b6,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,11,87f1,86b4,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,11,a352,a75b,True,6,spurious,-1,False
extreme_noise,depth,,0,0.6,8,67ce,e6fa,True,15,spurious,-1,False
extreme_noise,depth,,0,0.6,13,1c9,359,True,9,spurious,-1,False
extreme_noise,depth,,0,0.6,7,5a76,5868,True,21,spurious,-1,False
extreme_noise,depth,,0,0.6,8,5a2d,5949,True,13,spurious,-1,False
extreme_noise,depth,,0,0.6,12,1b18,359,True,17,spurious,-1,False
extreme_noise,depth,,0,0.6,11,83b8,2b4,True,11,spurious,-1,False
extreme_noise,depth,,0,0.6,8,ce54,9d05,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,12,76d,359,True,6,spurious,-1,False
extreme_noise,depth,,0,0.6,9,805,1905,True,7,spurious,-1,False
extreme_noise,depth,,0,0.6,9,57fa,46fa,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,8,7b72,794b,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,12,365,359,True,11,spurious,-1,False
extreme_noise,depth,,0,0.6,8,b9d3,bd17,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,9,2af,2b4,True,6,spurious,-1,False
extreme_noise,depth,,0,0.6,7,8dba,e6fa,True,16,spurious,-1,False
extreme_noise,depth,,0,0.6,11,129b,2b4,True,12,spurious,-1,False
extreme_noise,depth,,0,0.6,10,fd2,46fa,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,7,e2f4,e2f8,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,10,f25b,a75b,True,23,spurious,-1,False
extreme_noise,depth,,0,0.6,10,12bb,2b4,True,17,spurious,-1,False
extreme_noise,depth,,0,0.6,15,159,359,True,5,spurious,-1,False
extreme_noise,depth,,0,0.6,10,26f8,66f8,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,7,7c78,7c68,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,7,f265,b905,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,7,c9e5,58a4,True,7,spurious,-1,False
extreme_noise,depth,,0,0.6,11,53da,42f8,True,7,spurious,-1,False
extreme_noise,depth,,0,0.6,8,8ad,2b4,True,17,spurious,-1,False
extreme_noise,depth,,0,0.6,10,9f1d,8795,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,9,2322,235b,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,12,879,359,True,17,spurious,-1,False
extreme_noise,depth,,0,0.6,11,510,359,True,11,spurious,-1,False
extreme_noise,depth,,0,0.6,13,74b,75b,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,7,c92,16b6,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,12,918,359,True,16,spurious,-1,False
extreme_noise,depth,,0,0.6,9,6075,359,True,15,spurious,-1,False
extreme_noise,depth,,0,0.6,13,831b,835b,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,6,78e8,5868,True,9,spurious,-1,False
extreme_noise,depth,,0,0.6,6,ce2f,bd07,True,17,wrong_pattern,3,False
extreme_noise,depth,,0,0.6,10,857c,8759,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,9,4542,75b,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,7,bdda,a6b6,True,19,wrong_pattern,2,False
extreme_noise,depth,,0,0.6,8,cbf4,12b4,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,8,66e8,66e8,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,12,356,359,True,12,spurious,-1,False
extreme_noise,depth,,0,0.6,10,210a,235b,False,740,oscillated,-1,False
extreme_noise,depth,,0,0.6,9,1cd8,2b4,True,19,spurious,-1,False
extreme_noise,depth,,0,0.6,8,7b44,5949,True,17,spurious,-1,False
extreme_noise,depth,,0,0.6,13,15a,359,True,5,spurious,-1,False
extreme_noise,depth,,0,0.6,10,6270,42f8,True,9,spurious,-1,False
extreme_noise,depth,,0,0.6,15,8359,359,True,4,spurious,-1,False
extreme_noise,depth,,0,0.6,10,4b6a,5149,False,740,oscillated,-1,False
