experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct
oscillation,depth,,1,0.5,8,0,359,True,14,spurious,-1,False
oscillation,depth,,2,0.5,8,1a,359,True,7,spurious,-1,False
oscillation,depth,,2,0.375,6,34,2b4,True,9,spurious,-1,False
oscillation,depth,,2,0.5625,9,4e,359,True,7,spurious,-1,False
oscillation,depth,,2,0.625,10,68,42f8,True,13,spurious,-1,False
oscillation,depth,,2,0.4375,7,82,2b4,True,6,spurious,-1,False
oscillation,depth,,1,0.375,6,9c,2b4,True,6,spurious,-1,False
oscillation,depth,,2,0.25,4,b6,2b4,True,5,spurious,-1,False
oscillation,depth,,1,0.4375,7,d0,2b4,True,17,spurious,-1,False
oscillation,depth,,2,0.5,8,ea,42f8,True,13,spurious,-1,False
oscillation,depth,,1,0.375,6,104,1b95,True,13,correct,1,True
oscillation,depth,,1,0.4375,7,11e,359,True,11,spurious,-1,False
oscillation,depth,,1,0.5,8,138,359,True,7,spurious,-1,False
oscillation,depth,,1,0.5,8,152,359,True,6,spurious,-1,False
oscillation,depth,,1,0.5625,9,16c,359,True,7,spurious,-1,False
oscillation,depth,,1,0.375,6,186,2b4,True,12,spurious,-1,False
oscillation,depth,,1,0.4375,7,1a0,2b4,True,6,spurious,-1,False
oscillation,depth,,2,0.4375,7,1ba,2b4,True,17,spurious,-1,False
oscillation,depth,,1,0.3125,5,1d4,2b4,True,7,spurious,-1,False
oscillation,depth,,2,0.5,8,1ee,2b4,True,18,spurious,-1,False
oscillation,depth,,1,0.5,8,208,359,True,7,spurious,-1,False
oscillation,depth,,2,0.375,6,222,42f8,True,11,spurious,-1,False
oscillation,depth,,2,0.375,6,23c,42f8,True,21,spurious,-1,False
oscillation,depth,,2,0.375,6,256,359,True,16,spurious,-1,False
oscillation,depth,,2,0.4375,7,270,42f8,True,16,spurious,-1,False
oscillation,depth,,2,0.4375,7,28a,2b4,True,17,spurious,-1,False
oscillation,depth,,2,0.3125,5,2a4,2b4,True,5,spurious,-1,False
oscillation,depth,,2,0.25,4,2be,2b4,True,6,spurious,-1,False
oscillation,depth,,1,0.4375,7,2d8,42f8,True,12,spurious,-1,False
oscillation,depth,,2,0.3125,5,2f2,2b4,True,16,spurious,-1,False
oscillation,depth,,1,0.375,6,30c,359,True,11,spurious,-1,False
oscillation,depth,,2,0.375,6,326,395,True,9,spurious,-1,False
oscillation,depth,,1,0.4375,7,340,359,True,6,spurious,-1,False
oscillation,depth,,1,0.5,8,35a,359,True,4,spurious,-1,False
oscillation,depth,,1,0.375,6,374,359,True,16,spurious,-1,False
oscillation,depth,,1,0.375,6,38e,2b4,True,7,spurious,-1,False
oscillation,depth,,1,0.4375,7,3a8,2b4,True,17,spurious,-1,False
oscillation,depth,,1,0.4375,7,3c2,2b4,True,13,spurious,-1,False
oscillation,depth,,1,0.3125,5,3dc,2b4,True,12,spurious,-1,False
oscillation,depth,,2,0.3125,5,3f6,2b4,True,6,spurious,-1,False
oscillation,depth,,2,0.4375,7,410,359,True,12,spurious,-1,False
oscillation,depth,,2,0.4375,7,42a,46fa,False,740,oscillated,-1,False
oscillation,depth,,2,0.5,8,444,359,True,14,spurious,-1,False
oscillation,depth,,2,0.4375,7,45e,75b,False,740,oscillated,-1,False
oscillation,depth,,2,0.5,8,478,42f8,True,13,spurious,-1,False
oscillation,depth,,2,0.3125,5,492,6b6,False,740,oscillated,-1,False
oscillation,depth,,2,0.375,6,4ac,2b4,True,6,spurious,-1,False
oscillation,depth,,2,0.375,6,4c6,6b6,False,740,oscillated,-1,False
oscillation,depth,,2,0.4375,7,4e0,2b4,True,18,spurious,-1,False
oscillation,depth,,2,0.375,6,4fa,46fa,False,740,oscillated,-1,False
oscillation,depth,,1,0.375,6,514,395,True,9,spurious,-1,False
oscillation,depth,,2,0.4375,7,52e,75b,False,740,oscillated,-1,False
oscillation,depth,,3,0.5625,9,548,359,True,5,spurious,-1,False
oscillation,depth,,2,0.5,8,562,75b,False,740,oscillated,-1,False
oscillation,depth,,2,0.5,8,57c,359,True,7,spurious,-1,False
oscillation,depth,,2,0.3125,5,596,6b6,False,740,oscillated,-1,False
oscillation,depth,,2,0.375,6,5b0,2b4,True,6,spurious,-1,False
oscillation,depth,,2,0.5625,9,5ca,46fa,False,740,oscillated,-1,False
oscillation,depth,,2,0.4375,7,5e4,2b4,True,6,spurious,-1,False
oscillation,depth,,2,0.375,6,5fe,46fa,False,740,oscillated,-1,False
oscillation,depth,,2,0.4375,7,618,359,True,7,spurious,-1,False
oscillation,depth,,2,0.25,4,632,6b6,False,740,oscillated,-1,False
oscillation,depth,,2,0.5,8,64c,359,True,7,spurious,-1,False
oscillation,depth,,2,0.3125,5,666,6b6,False,740,oscillated,-1,False
oscillation,depth,,2,0.375,6,680,2b4,True,6,spurious,-1,False
oscillation,depth,,2,0.3125,5,69a,6b6,False,740,oscillated,-1,False
oscillation,depth,,2,0.1875,3,6b4,2b4,True,4,spurious,-1,False
oscillation,depth,,2,0.375,6,6ce,46fa,False,740,oscillated,-1,False
oscillation,depth,,2,0.4375,7,6e8,42f8,True,13,spurious,-1,False
oscillation,depth,,2,0.4375,7,702,75b,False,740,oscillated,-1,False
oscillation,depth,,1,0.375,6,71c,359,True,12,spurious,-1,False
oscillation,depth,,2,0.25,4,736,797,False,740,oscillated,-1,False
oscillation,depth,,1,0.4375,7,750,359,True,6,spurious,-1,False
oscillation,depth,,2,0.5,8,76a,75b,False,740,oscillated,-1,False
oscillation,depth,,1,0.3125,5,784,2b4,True,7,spurious,-1,False
oscillation,depth,,2,0.3125,5,79e,6b6,False,740,oscillated,-1,False
oscillation,depth,,2,0.375,6,7b8,2b4,True,11,spurious,-1,False
oscillation,depth,,2,0.375,6,7d2,6b6,False,740,oscillated,-1,False
oscillation,depth,,2,0.4375,7,7ec,2b4,True,17,spurious,-1,False
oscillation,depth,,3,0.375,6,806,1905,True,7,spurious,-1,False
oscillation,depth,,0,0.5,8,820,5868,True,26,spurious,-1,False
oscillation,depth,,2,0.5,8,83a,42f8,True,13,spurious,-1,False
oscillation,depth,,1,0.375,6,854,359,True,17,spurious,-1,False
oscillation,depth,,0,0.5,8,86e,5068,False,740,oscillated,-1,False
oscillation,depth,,1,0.4375,7,888,42f8,True,16,spurious,-1,False
oscillation,depth,,0,0.375,6,8a2,2b4,True,17,spurious,-1,False
oscillation,depth,,1,0.375,6,8bc,2b4,True,17,spurious,-1,False
oscillation,depth,,1,0.375,6,8d6,2b4,True,17,spurious,-1,False
oscillation,depth,,1,0.4375,7,8f0,2b4,True,21,spurious,-1,False
oscillation,depth,,3,0.4375,7,90a,5149,False,740,oscillated,-1,False
oscillation,depth,,1,0.375,6,924,1905,True,7,spurious,-1,False
oscillation,depth,,1,0.4375,7,93e,359,True,17,spurious,-1,False
oscillation,depth,,1,0.4375,7,958,359,True,14,spurious,-1,False
oscillation,depth,,1,0.5,8,972,359,True,18,spurious,-1,False
oscillation,depth,,1,0.3125,5,98c,2b4,True,17,spurious,-1,False
oscillation,depth,,0,0.375,6,9a6,58a4,True,23,spurious,-1,False
oscillation,depth,,1,0.375,6,9c0,42f8,True,17,spurious,-1,False
oscillation,depth,,1,0.4375,7,9da,42f8,True,15,spurious,-1,False
oscillation,depth,,1,0.3125,5,9f4,2b4,True,17,spurious,-1,False
oscillation,depth,,1,0.4375,7,a0e,359,True,17,spurious,-1,False
oscillation,depth,,1,0.5,8,a28,42f8,True,13,spurious,-1,False
oscillation,depth,,1,0.5,8,a42,359,True,18,spurious,-1,False
oscillation,depth,,1,0.375,6,a5c,359,True,7,spurious,-1,False
oscillation,depth,,2,0.375,6,a76,42f8,True,16,spurious,-1,False
oscillation,depth,,1,0.25,4,a90,2b4,True,7,spurious,-1,False
oscillation,depth,,2,0.4375,7,aaa,2b4,True,21,spurious,-1,False
oscillation,depth,,1,0.3125,5,ac4,2b4,True,17,spurious,-1,False
oscillation,depth,,1,0.375,6,ade,2b4,True,17,spurious,-1,False
oscillation,depth,,1,0.4375,7,af8,42f8,True,11,spurious,-1,False
oscillation,depth,,1,0.3125,5,b12,359,True,12,spurious,-1,False
oscillation,depth,,1,0.375,6,b2c,359,True,17,spurious,-1,False
oscillation,depth,,1,0.375,6,b46,359,True,21,spurious,-1,False
oscillation,depth,,1,0.4375,7,b60,359,True,18,spurious,-1,False
oscillation,depth,,1,0.5,8,b7a,359,True,7,spurious,-1,False
oscillation,depth,,1,0.125,2,b94,12b4,False,740,oscillated,-1,False
oscillation,depth,,1,0.375,6,bae,2b4,True,17,spurious,-1,False
oscillation,depth,,1,0.375,6,bc8,42f8,True,15,spurious,-1,False
oscillation,depth,,1,0.4375,7,be2,42f8,True,16,spurious,-1,False
oscillation,depth,,1,0.3125,5,bfc,2b4,True,17,spurious,-1,False
oscillation,depth,,2,0.375,6,c16,1797,False,740,oscillated,-1,False
oscillation,depth,,2,0.4375,7,c30,58a4,True,30,spurious,-1,False
oscillation,depth,,3,0.5,8,c4a,554b,False,740,oscillated,-1,False
oscillation,depth,,0,0.4375,7,c64,5868,True,26,spurious,-1,False
oscillation,depth,,2,0.4375,7,c7e,44fa,False,740,oscillated,-1,False
oscillation,depth,,1,0.4375,7,c98,42f8,True,16,spurious,-1,False
oscillation,depth,,2,0.3125,5,cb2,16b6,False,740,oscillated,-1,False
oscillation,depth,,0,0.5,8,ccc,42f8,True,16,spurious,-1,False
oscillation,depth,,0,0.3125,5,ce6,16b6,False,740,oscillated,-1,False
oscillation,depth,,3,0.375,6,d00,5149,False,740,oscillated,-1,False
oscillation,depth,,3,0.4375,7,d1a,75b,False,740,oscillated,-1,False
