experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,k_correct
partial_depth,depth,,0,0.5,8,7c79,7d49,False,740,oscillated,-1,False,0
partial_depth,depth,,0,0.75,12,631b,235b,False,740,oscillated,-1,False,0
partial_depth,depth,,0,0.3125,5,e5e7,fc6a,True,14,spurious,-1,False,0
partial_depth,depth,,0,0.5625,9,57cc,58a4,True,17,spurious,-1,False,0
partial_depth,depth,,0,0.5625,9,2642,a75b,True,7,spurious,-1,False,0
partial_depth,depth,,0,0.5625,9,2021,359,True,14,spurious,-1,False,0
partial_depth,depth,,0,0.5625,9,45c0,5868,True,9,spurious,-1,False,0
partial_depth,depth,,0,0.5,8,5891,58a4,True,7,spurious,-1,False,0
partial_depth,depth,,0,0.625,10,aa69,a359,False,740,oscillated,-1,False,0
partial_depth,depth,,0,0.6875,11,4240,359,True,15,spurious,-1,False,0
partial_depth,depth,,0,0.625,10,8f98,c6f8,False,740,oscillated,-1,False,0
partial_depth,depth,,0,0.6875,11,574d,5949,True,17,spurious,-1,False,0
partial_depth,depth,,0,0.625,10,8334,395,True,9,spurious,-1,False,0
partial_depth,depth,,0,0.25,4,bc64,fca6,True,11,correct,0,True,0
partial_depth,depth,,0,0.4375,7,7a7e,786a,False,740,oscillated,-1,False,0
partial_depth,depth,,0,0.4375,7,cf0e,bd07,True,16,wrong_pattern,3,False,0
partial_depth,depth,,0,0.25,4,dd36,bd07,True,15,wrong_pattern,3,False,0
partial_depth,depth,,0,0.375,6,f707,bd07,True,13,wrong_pattern,3,False,0
partial_depth,depth,,0,0.375,6,9867,9907,False,740,oscillated,-1,False,0
partial_depth,depth,,0,0.3125,5,f592,fca6,True,18,correct,0,True,0
partial_depth,depth,,0,0.5625,9,11b3,2b4,True,17,spurious,-1,False,0
partial_depth,depth,,0,0.3125,5,f9c2,fca6,True,16,correct,0,True,0
partial_depth,depth,,0,0.375,6,ee28,fc6a,True,17,spurious,-1,False,0
partial_depth,depth,,0,0.25,4,6d86,fca6,True,7,correct,0,True,0
partial_depth,depth,,0,0.6875,11,823d,359,True,16,spurious,-1,False,0
partial_depth,depth,,0,0.4375,7,d7c4,dca4,False,740,oscillated,-1,False,0
partial_depth,depth,,0,0.3125,5,d0e4,58a4,True,7,spurious,-1,False,0
partial_depth,depth,,0,0.25,4,e8e2,fca6,True,11,correct,0,True,0
partial_depth,depth,,0,0.5625,9,bf39,a75b,True,17,spurious,-1,False,0
partial_depth,depth,,0,0.4375,7,adc0,e6fa,True,17,spurious,-1,False,0
partial_depth,depth,,0,0.375,6,d907,9907,False,740,oscillated,-1,False,0
