experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct
spurious_basin,depth,,3,0.25,4,9c13,bd17,False,740,oscillated,-1,False
spurious_basin,depth,,2,0.5,8,81c2,82b6,False,740,oscillated,-1,False
spurious_basin,depth,,2,0.3125,5,d63e,fca6,True,16,wrong_pattern,0,False
spurious_basin,depth,,1,0.375,6,3359,359,True,7,spurious,-1,False
spurious_basin,depth,,1,0.25,4,5ab4,58a4,True,5,spurious,-1,False
spurious_basin,depth,,1,0.3125,5,338c,2b4,True,17,spurious,-1,False
spurious_basin,depth,,2,0.4375,7,cbfe,92b6,False,740,oscillated,-1,False
spurious_basin,depth,,0,0.1875,3,eda4,fca6,True,7,correct,0,True
spurious_basin,depth,,1,0.5,8,40d3,42f8,True,15,spurious,-1,False
spurious_basin,depth,,2,0.5,8,2fe8,66f8,False,740,oscillated,-1,False
spurious_basin,depth,,1,0.3125,5,1e16,1f97,False,740,oscillated,-1,False
spurious_basin,depth,,1,0.4375,7,1ff,2b4,True,13,spurious,-1,False
spurious_basin,depth,,2,0.5,8,4f72,5d4b,False,740,oscillated,-1,False
spurious_basin,depth,,0,0.4375,7,ffc8,fc6a,True,9,spurious,-1,False
spurious_basin,depth,,0,0.5,8,6e08,7549,False,740,oscillated,-1,False
spurious_basin,depth,,2,0.25,4,a4d7,a6b6,True,7,correct,2,True
spurious_basin,depth,,3,0.4375,7,ac48,f54b,False,740,oscillated,-1,False
spurious_basin,depth,,0,0.1875,3,faa4,f8a4,False,740,oscillated,-1,False
spurious_basin,depth,,0,0.3125,5,1c22,5ca6,False,740,oscillated,-1,False
spurious_basin,depth,,1,0.25,4,3335,b95,False,740,oscillated,-1,False
spurious_basin,depth,,2,0.4375,7,f312,bd07,True,16,wrong_pattern,3,False
spurious_basin,depth,,0,0.25,4,3c22,fca6,True,11,correct,0,True
spurious_basin,depth,,2,0.1875,3,67b6,a6b6,True,11,correct,2,True
spurious_basin,depth,,0,0.125,2,d4a6,fca6,True,7,correct,0,True
spurious_basin,depth,,1,0.5,8,6a18,5949,True,17,spurious,-1,False
spurious_basin,depth,,0,0.4375,7,ce21,9d05,False,740,oscillated,-1,False
spurious_basin,depth,,2,0.3125,5,e662,e6ea,False,740,oscillated,-1,False
spurious_basin,depth,,1,0.4375,7,57d2,eb6,False,740,oscillated,-1,False
spurious_basin,depth,,0,0.5,8,4062,4068,True,6,spurious,-1,False
spurious_basin,depth,,1,0.375,6,148d,2b4,True,17,spurious,-1,False
spurious_basin,depth,,0,0.25,4,fcb8,fca6,True,11,correct,0,True
spurious_basin,depth,,0,0.3125,5,f097,fca6,True,17,correct,0,True
spurious_basin,depth,,3,0.375,6,3dff,fca6,True,15,wrong_pattern,0,False
spurious_basin,depth,,0,0.3125,5,1da4,58a4,True,11,spurious,-1,False
spurious_basin,depth,,2,0.3125,5,a41f,a75b,True,11,spurious,-1,False
spurious_basin,depth,,3,0.3125,5,b057,a75b,True,21,spurious,-1,False
spurious_basin,depth,,1,0.4375,7,c3c4,42f8,True,16,spurious,-1,False
spurious_basin,depth,,0,0.25,4,f8f4,f8a4,False,740,oscillated,-1,False
spurious_basin,depth,,1,0.4375,7,b7b,359,True,7,spurious,-1,False
spurious_basin,depth,,2,0.5,8,f218,f949,False,740,oscillated,-1,False
spurious_basin,depth,,2,0.375,6,84d3,a6b6,True,13,correct,2,True
spurious_basin,depth,,1,0.4375,7,4bec,58a4,True,21,spurious,-1,False
spurious_basin,depth,,2,0.3125,5,9622,fca6,True,30,wrong_pattern,0,False
spurious_basin,depth,,1,0.375,6,1eff,5ca6,False,740,oscillated,-1,False
