experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,t_even,t_odd,ratio
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,0,0.0,0,fca6,fca6,True,0,correct,0,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
symmetry,even_odd,_todd1,1,0.0,0,1b95,1b95,True,0,correct,1,True,10,1,0.1
