corruption_pct,n_flip,trial,correct,settled
0.0,0,0,0.5625,0.7475
0.001,65,0,0.5591666666666667,0.7458333333333333
0.001,65,1,0.5666666666666667,0.73
0.001,65,2,0.575,0.7366666666666667
0.001,65,3,0.5658333333333333,0.7458333333333333
0.001,65,4,0.57,0.7375
0.005,327,0,0.57,0.7458333333333333
0.005,327,1,0.5575,0.7216666666666667
0.005,327,2,0.5583333333333333,0.7225
0.005,327,3,0.565,0.7566666666666667
0.005,327,4,0.5683333333333334,0.7425
0.01,655,0,0.5675,0.7308333333333333
0.01,655,1,0.56,0.7325
0.01,655,2,0.5733333333333334,0.7325
0.01,655,3,0.58,0.7325
0.01,655,4,0.5633333333333334,0.73
0.02,1310,0,0.5675,0.7058333333333333
0.02,1310,1,0.5916666666666667,0.76
0.02,1310,2,0.565,0.75
0.02,1310,3,0.58,0.7725
0.02,1310,4,0.5708333333333333,0.7458333333333333
0.05,3276,0,0.4741666666666667,0.74
0.05,3276,1,0.55,0.7425
0.05,3276,2,0.5558333333333333,0.7491666666666666
0.05,3276,3,0.5466666666666666,0.7041666666666667
0.05,3276,4,0.42333333333333334,0.5908333333333333
0.1,6553,0,0.5625,0.7133333333333334
0.1,6553,1,0.5716666666666667,0.7533333333333333
0.1,6553,2,0.5791666666666667,0.7225
0.1,6553,3,0.23166666666666666,0.3875
0.1,6553,4,0.5625,0.7225
0.2,13107,0,0.3641666666666667,0.515
0.2,13107,1,0.37166666666666665,0.5058333333333334
0.2,13107,2,0.265,0.5308333333333334
0.2,13107,3,0.23083333333333333,0.3358333333333333
0.2,13107,4,0.2941666666666667,0.4741666666666667
