init_state,attractor,outcome,label,nearest_pat,hamming_to_nearest
0000,0359,fixed,spurious,1,8
0001,0359,fixed,spurious,1,7
0002,0359,fixed,spurious,2,8
0003,0359,fixed,spurious,3,7
0004,58a4,fixed,spurious,1,7
0005,1b95,fixed,stored,1,6
0006,58a4,fixed,spurious,2,7
0007,1b95,fixed,stored,3,6
0008,0359,fixed,spurious,1,9
0009,0359,fixed,spurious,1,8
000a,0359,fixed,spurious,2,9
000b,0359,fixed,spurious,3,8
000c,0359,fixed,spurious,1,8
000d,0359,fixed,spurious,1,7
000e,0359,fixed,spurious,2,8
000f,0359,fixed,spurious,3,7
0010,03fd,cycle,cycle,1,7
0011,0359,fixed,spurious,1,6
0012,03fd,cycle,cycle,2,7
0013,0359,fixed,spurious,1,7
0014,02b4,fixed,spurious,1,6
0015,0395,fixed,spurious,1,5
0016,02b4,fixed,spurious,2,6
0017,0395,fixed,spurious,1,6
0018,0359,fixed,spurious,1,8
0019,0359,fixed,spurious,1,7
001a,0359,fixed,spurious,2,8
001b,0359,fixed,spurious,1,8
001c,03f1,cycle,cycle,1,7
001d,0359,fixed,spurious,1,6
001e,03f1,cycle,cycle,2,7
001f,0359,fixed,spurious,1,7
0020,42f8,fixed,spurious,2,8
0021,0359,fixed,spurious,1,8
0022,42f8,fixed,spurious,2,7
0023,0359,fixed,spurious,2,8
0024,58a4,fixed,spurious,2,7
0025,58a4,fixed,spurious,1,7
0026,58a4,fixed,spurious,2,6
0027,58a4,fixed,spurious,2,7
0028,42f8,fixed,spurious,2,9
0029,0359,fixed,spurious,1,9
002a,42f8,fixed,spurious,2,8
002b,0359,fixed,spurious,2,9
002c,42f8,fixed,spurious,2,8
002d,0359,fixed,spurious,1,8
002e,42f8,fixed,spurious,2,7
002f,0359,fixed,spurious,2,8
0030,42f8,fixed,spurious,2,7
0031,03dc,cycle,cycle,1,7
0032,42f8,fixed,spurious,2,6
0033,03dc,cycle,cycle,2,7
0034,02b4,fixed,spurious,2,6
0035,02b4,fixed,spurious,1,6
0036,02b4,fixed,spurious,2,5
0037,02b4,fixed,spurious,2,6
0038,42f8,fixed,spurious,2,8
0039,0359,fixed,spurious,1,8
003a,42f8,fixed,spurious,2,7
003b,0359,fixed,spurious,2,8
003c,42f8,fixed,spurious,2,7
003d,03d0,cycle,cycle,1,7
003e,42f8,fixed,spurious,2,6
003f,03d0,cycle,cycle,2,7
0040,0359,fixed,spurious,1,9
0041,0359,fixed,spurious,1,8
0042,0359,fixed,spurious,2,9
0043,0359,fixed,spurious,3,8
0044,0359,fixed,spurious,1,8
0045,0359,fixed,spurious,1,7
0046,0359,fixed,spurious,2,8
0047,0359,fixed,spurious,3,7
0048,0359,fixed,spurious,1,10
0049,0359,fixed,spurious,1,9
004a,0359,fixed,spurious,2,10
004b,0359,fixed,spurious,3,9
004c,0359,fixed,spurious,1,9
004d,0359,fixed,spurious,1,8
004e,0359,fixed,spurious,2,9
004f,0359,fixed,spurious,3,8
0050,0359,fixed,spurious,1,8
0051,0359,fixed,spurious,1,7
0052,0359,fixed,spurious,2,8
0053,0359,fixed,spurious,1,8
0054,03b9,cycle,cycle,1,7
0055,0359,fixed,spurious,1,6
0056,03b9,cycle,cycle,2,7
0057,0359,fixed,spurious,1,7
0058,0359,fixed,spurious,1,9
0059,0359,fixed,spurious,1,8
005a,0359,fixed,spurious,2,9
005b,0359,fixed,spurious,1,9
005c,0359,fixed,spurious,1,8
005d,0359,fixed,spurious,1,7
005e,0359,fixed,spurious,2,8
005f,0359,fixed,spurious,1,8
0060,42f8,fixed,spurious,2,9
0061,0359,fixed,spurious,1,9
0062,42f8,fixed,spurious,2,8
0063,0359,fixed,spurious,2,9
0064,42f8,fixed,spurious,2,8
0065,0359,fixed,spurious,1,8
0066,42f8,fixed,spurious,2,7
0067,0359,fixed,spurious,2,8
0068,42f8,fixed,spurious,2,10
0069,0359,fixed,spurious,1,10
006a,42f8,fixed,spurious,2,9
006b,0359,fixed,spurious,2,10
006c,42f8,fixed,spurious,2,9
006d,0359,fixed,spurious,1,9
006e,42f8,fixed,spurious,2,8
006f,0359,fixed,spurious,2,9
0070,42f8,fixed,spurious,2,8
0071,0359,fixed,spurious,1,8
0072,42f8,fixed,spurious,2,7
0073,0359,fixed,spurious,2,8
0074,42f8,fixed,spurious,2,7
0075,0398,cycle,cycle,1,7
0076,42f8,fixed,spurious,2,6
0077,0398,cycle,cycle,2,7
0078,42f8,fixed,spurious,2,9
0079,0359,fixed,spurious,1,9
007a,42f8,fixed,spurious,2,8
007b,0359,fixed,spurious,2,9
007c,42f8,fixed,spurious,2,8
007d,0359,fixed,spurious,1,8
007e,42f8,fixed,spurious,2,7
007f,0359,fixed,spurious,2,8
0080,42f8,fixed,spurious,1,7
0081,02b4,fixed,spurious,1,6
0082,42f8,fixed,spurious,2,7
0083,02b4,fixed,spurious,1,7
0084,58a4,fixed,spurious,1,6
0085,58a4,fixed,spurious,1,5
0086,58a4,fixed,spurious,2,6
0087,58a4,fixed,spurious,1,6
0088,42f8,fixed,spurious,1,8
0089,0359,fixed,spurious,1,7
008a,42f8,fixed,spurious,2,8
008b,0359,fixed,spurious,1,8
008c,42f8,fixed,spurious,1,7
008d,02b4,fixed,spurious,1,6
008e,42f8,fixed,spurious,2,7
008f,02b4,fixed,spurious,1,7
0090,02b4,fixed,spurious,1,6
0091,02b4,fixed,spurious,1,5
0092,02b4,fixed,spurious,2,6
0093,02b4,fixed,spurious,1,6
0094,02b4,fixed,spurious,1,5
0095,02b4,fixed,spurious,1,4
0096,02b4,fixed,spurious,2,5
0097,02b4,fixed,spurious,1,5
0098,42f8,fixed,spurious,1,7
0099,0374,cycle,cycle,1,6
009a,42f8,fixed,spurious,2,7
009b,0374,cycle,cycle,1,7
009c,02b4,fixed,spurious,1,6
009d,02b4,fixed,spurious,1,5
009e,02b4,fixed,spurious,2,6
009f,02b4,fixed,spurious,1,6
00a0,02b4,fixed,spurious,2,7
00a1,42f8,fixed,spurious,1,7
00a2,02b4,fixed,spurious,2,6
00a3,42f8,fixed,spurious,2,7
00a4,58a4,fixed,spurious,2,6
00a5,58a4,fixed,spurious,1,6
00a6,58a4,fixed,spurious,2,5
00a7,58a4,fixed,spurious,2,6
00a8,42f8,fixed,spurious,2,8
00a9,42f8,fixed,spurious,1,8
00aa,42f8,fixed,spurious,2,7
00ab,42f8,fixed,spurious,2,8
00ac,02b4,fixed,spurious,2,7
00ad,42f8,fixed,spurious,1,7
00ae,02b4,fixed,spurious,2,6
00af,42f8,fixed,spurious,2,7
00b0,02b4,fixed,spurious,2,6
00b1,02b4,fixed,spurious,1,6
00b2,02b4,fixed,spurious,2,5
00b3,02b4,fixed,spurious,2,6
00b4,02b4,fixed,spurious,2,5
00b5,02b4,fixed,spurious,1,5
00b6,02b4,fixed,spurious,2,4
00b7,02b4,fixed,spurious,2,5
00b8,42f4,cycle,cycle,2,7
00b9,42f8,fixed,spurious,1,7
00ba,42f4,cycle,cycle,2,6
00bb,42f8,fixed,spurious,2,7
00bc,02b4,fixed,spurious,2,6
00bd,02b4,fixed,spurious,1,6
00be,02b4,fixed,spurious,2,5
00bf,02b4,fixed,spurious,2,6
00c0,42f8,fixed,spurious,1,8
00c1,0359,fixed,spurious,1,7
00c2,42f8,fixed,spurious,2,8
00c3,0359,fixed,spurious,1,8
00c4,42f8,fixed,spurious,1,7
00c5,02b4,fixed,spurious,1,6
00c6,42f8,fixed,spurious,2,7
00c7,02b4,fixed,spurious,1,7
00c8,42f8,fixed,spurious,1,9
00c9,0359,fixed,spurious,1,8
00ca,42f8,fixed,spurious,2,9
00cb,0359,fixed,spurious,1,9
00cc,42f8,fixed,spurious,1,8
00cd,0359,fixed,spurious,1,7
00ce,42f8,fixed,spurious,2,8
00cf,0359,fixed,spurious,1,8
00d0,42f8,fixed,spurious,1,7
00d1,033c,cycle,cycle,1,6
00d2,42f8,fixed,spurious,2,7
00d3,033c,cycle,cycle,1,7
00d4,02b4,fixed,spurious,1,6
00d5,02b4,fixed,spurious,1,5
00d6,02b4,fixed,spurious,2,6
00d7,02b4,fixed,spurious,1,6
00d8,42f8,fixed,spurious,1,8
00d9,0359,fixed,spurious,1,7
00da,42f8,fixed,spurious,2,8
00db,0359,fixed,spurious,1,8
00dc,42f8,fixed,spurious,1,7
00dd,0330,cycle,cycle,1,6
00de,42f8,fixed,spurious,2,7
00df,0330,cycle,cycle,1,7
00e0,42f8,fixed,spurious,2,8
00e1,42f8,fixed,spurious,1,8
00e2,42f8,fixed,spurious,2,7
00e3,42f8,fixed,spurious,2,8
00e4,02b4,fixed,spurious,2,7
00e5,42f8,fixed,spurious,1,7
00e6,02b4,fixed,spurious,2,6
00e7,42f8,fixed,spurious,2,7
00e8,42f8,fixed,spurious,2,9
00e9,42f8,fixed,spurious,1,9
00ea,42f8,fixed,spurious,2,8
00eb,42f8,fixed,spurious,2,9
00ec,42f8,fixed,spurious,2,8
00ed,42f8,fixed,spurious,1,8
00ee,42f8,fixed,spurious,2,7
00ef,42f8,fixed,spurious,2,8
00f0,42bc,cycle,cycle,2,7
00f1,42f8,fixed,spurious,1,7
00f2,42bc,cycle,cycle,2,6
00f3,42f8,fixed,spurious,2,7
00f4,02b4,fixed,spurious,2,6
00f5,02b4,fixed,spurious,1,6
00f6,02b4,fixed,spurious,2,5
00f7,02b4,fixed,spurious,2,6
00f8,42f8,fixed,spurious,2,8
00f9,42f8,fixed,spurious,1,8
00fa,42f8,fixed,spurious,2,7
00fb,42f8,fixed,spurious,2,8
00fc,42b0,cycle,cycle,2,7
00fd,42f8,fixed,spurious,1,7
00fe,42b0,cycle,cycle,2,6
00ff,42f8,fixed,spurious,2,7
0100,0359,fixed,spurious,1,7
0101,0359,fixed,spurious,1,6
0102,0359,fixed,spurious,3,7
0103,0359,fixed,spurious,3,6
0104,1b95,fixed,stored,1,6
0105,1b95,fixed,stored,1,5
0106,1b95,fixed,stored,3,6
0107,1b95,fixed,stored,3,5
0108,0359,fixed,spurious,1,8
0109,0359,fixed,spurious,1,7
010a,0359,fixed,spurious,3,8
010b,0359,fixed,spurious,3,7
010c,0359,fixed,spurious,1,7
010d,0359,fixed,spurious,1,6
010e,0359,fixed,spurious,3,7
010f,0359,fixed,spurious,3,6
0110,0359,fixed,spurious,1,6
0111,0359,fixed,spurious,1,5
0112,0359,fixed,spurious,1,7
0113,0359,fixed,spurious,1,6
0114,0395,fixed,spurious,1,5
0115,0395,fixed,spurious,1,4
0116,0395,fixed,spurious,1,6
0117,0395,fixed,spurious,1,5
0118,0359,fixed,spurious,1,7
0119,0359,fixed,spurious,1,6
011a,0359,fixed,spurious,1,8
011b,0359,fixed,spurious,1,7
011c,0359,fixed,spurious,1,6
011d,0359,fixed,spurious,1,5
011e,0359,fixed,spurious,1,7
011f,0359,fixed,spurious,1,6
0120,0359,fixed,spurious,1,8
0121,0359,fixed,spurious,1,7
0122,0359,fixed,spurious,2,8
0123,0359,fixed,spurious,3,7
0124,58a4,fixed,spurious,1,7
0125,1b95,fixed,stored,1,6
0126,58a4,fixed,spurious,2,7
0127,1b95,fixed,stored,3,6
0128,0359,fixed,spurious,1,9
0129,0359,fixed,spurious,1,8
012a,0359,fixed,spurious,2,9
012b,0359,fixed,spurious,3,8
012c,0359,fixed,spurious,1,8
012d,0359,fixed,spurious,1,7
012e,0359,fixed,spurious,2,8
012f,0359,fixed,spurious,3,7
0130,02dd,cycle,cycle,1,7
0131,0359,fixed,spurious,1,6
0132,02dd,cycle,cycle,2,7
0133,0359,fixed,spurious,1,7
0134,02b4,fixed,spurious,1,6
0135,0395,fixed,spurious,1,5
0136,02b4,fixed,spurious,2,6
0137,0395,fixed,spurious,1,6
0138,0359,fixed,spurious,1,8
0139,0359,fixed,spurious,1,7
013a,0359,fixed,spurious,2,8
013b,0359,fixed,spurious,1,8
013c,02d1,cycle,cycle,1,7
013d,0359,fixed,spurious,1,6
013e,02d1,cycle,cycle,2,7
013f,0359,fixed,spurious,1,7
0140,0359,fixed,spurious,1,8
0141,0359,fixed,spurious,1,7
0142,0359,fixed,spurious,3,8
0143,0359,fixed,spurious,3,7
0144,0359,fixed,spurious,1,7
0145,0359,fixed,spurious,1,6
0146,0359,fixed,spurious,3,7
0147,0359,fixed,spurious,3,6
0148,0359,fixed,spurious,1,9
0149,0359,fixed,spurious,1,8
014a,0359,fixed,spurious,3,9
014b,0359,fixed,spurious,3,8
014c,0359,fixed,spurious,1,8
014d,0359,fixed,spurious,1,7
014e,0359,fixed,spurious,3,8
014f,0359,fixed,spurious,3,7
0150,0359,fixed,spurious,1,7
0151,0359,fixed,spurious,1,6
0152,0359,fixed,spurious,1,8
0153,0359,fixed,spurious,1,7
0154,0359,fixed,spurious,1,6
0155,0359,fixed,spurious,1,5
0156,0359,fixed,spurious,1,7
0157,0359,fixed,spurious,1,6
0158,0359,fixed,spurious,1,8
0159,0359,fixed,spurious,1,7
015a,0359,fixed,spurious,1,9
015b,0359,fixed,spurious,1,8
015c,0359,fixed,spurious,1,7
015d,0359,fixed,spurious,1,6
015e,0359,fixed,spurious,1,8
015f,0359,fixed,spurious,1,7
0160,0359,fixed,spurious,1,9
0161,0359,fixed,spurious,1,8
0162,0359,fixed,spurious,2,9
0163,0359,fixed,spurious,3,8
0164,0359,fixed,spurious,1,8
0165,0359,fixed,spurious,1,7
0166,0359,fixed,spurious,2,8
0167,0359,fixed,spurious,3,7
0168,0359,fixed,spurious,1,10
0169,0359,fixed,spurious,1,9
016a,0359,fixed,spurious,2,10
016b,0359,fixed,spurious,3,9
016c,0359,fixed,spurious,1,9
016d,0359,fixed,spurious,1,8
016e,0359,fixed,spurious,2,9
016f,0359,fixed,spurious,3,8
0170,0359,fixed,spurious,1,8
0171,0359,fixed,spurious,1,7
0172,0359,fixed,spurious,2,8
0173,0359,fixed,spurious,1,8
0174,0299,cycle,cycle,1,7
0175,0359,fixed,spurious,1,6
0176,0299,cycle,cycle,2,7
0177,0359,fixed,spurious,1,7
0178,0359,fixed,spurious,1,9
