experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,source_fp,flip_bit,is_stored
attstab_depth,depth,,1,0.25,4,1904,1905,True,4,spurious,-1,False,1905,0,False
attstab_depth,depth,,1,0.25,4,1907,1905,True,4,spurious,-1,False,1905,1,False
attstab_depth,depth,,1,0.25,4,1901,1905,True,6,spurious,-1,False,1905,2,False
attstab_depth,depth,,1,0.25,4,190d,1905,True,6,spurious,-1,False,1905,3,False
attstab_depth,depth,,1,0.125,2,1915,1915,False,740,oscillated,-1,False,1905,4,False
attstab_depth,depth,,1,0.25,4,1925,1905,True,4,spurious,-1,False,1905,5,False
attstab_depth,depth,,1,0.25,4,1945,1905,True,6,spurious,-1,False,1905,6,False
attstab_depth,depth,,1,0.125,2,1985,1905,True,9,spurious,-1,False,1905,7,False
attstab_depth,depth,,1,0.25,4,1805,1905,True,4,spurious,-1,False,1905,8,False
attstab_depth,depth,,1,0.125,2,1b05,1b05,False,740,oscillated,-1,False,1905,9,False
attstab_depth,depth,,1,0.25,4,1d05,1905,True,4,spurious,-1,False,1905,10,False
attstab_depth,depth,,1,0.25,4,1105,1905,True,7,spurious,-1,False,1905,11,False
attstab_depth,depth,,1,0.25,4,905,1905,True,7,spurious,-1,False,1905,12,False
attstab_depth,depth,,1,0.25,4,3905,1905,True,4,spurious,-1,False,1905,13,False
attstab_depth,depth,,1,0.25,4,5905,1905,True,11,spurious,-1,False,1905,14,False
attstab_depth,depth,,1,0.25,4,9905,1905,True,4,spurious,-1,False,1905,15,False
attstab_depth,depth,,3,0.0625,1,bd06,bd07,True,4,correct,3,True,bd07,0,True
attstab_depth,depth,,3,0.0625,1,bd05,bd07,True,4,correct,3,True,bd07,1,True
attstab_depth,depth,,3,0.0625,1,bd03,bd07,True,6,correct,3,True,bd07,2,True
attstab_depth,depth,,3,0.0625,1,bd0f,bd07,True,6,correct,3,True,bd07,3,True
attstab_depth,depth,,3,0.0625,1,bd17,bd17,False,740,oscillated,-1,False,bd07,4,True
attstab_depth,depth,,3,0.0625,1,bd27,bd07,True,4,correct,3,True,bd07,5,True
attstab_depth,depth,,3,0.0625,1,bd47,bd07,True,6,correct,3,True,bd07,6,True
attstab_depth,depth,,3,0.0625,1,bd87,bd07,True,9,correct,3,True,bd07,7,True
attstab_depth,depth,,3,0.0625,1,bc07,bd07,True,4,correct,3,True,bd07,8,True
attstab_depth,depth,,3,0.0625,1,bf07,bf07,False,740,oscillated,-1,False,bd07,9,True
attstab_depth,depth,,3,0.0625,1,b907,bd07,True,4,correct,3,True,bd07,10,True
attstab_depth,depth,,3,0.0625,1,b507,bd07,True,7,correct,3,True,bd07,11,True
attstab_depth,depth,,3,0.0625,1,ad07,bd07,True,7,correct,3,True,bd07,12,True
attstab_depth,depth,,3,0.0625,1,9d07,bd07,True,4,correct,3,True,bd07,13,True
attstab_depth,depth,,3,0.0625,1,fd07,bd07,True,11,correct,3,True,bd07,14,True
attstab_depth,depth,,3,0.0625,1,3d07,bd07,True,4,correct,3,True,bd07,15,True
attstab_depth,depth,,1,0.1875,3,394,2b4,True,7,spurious,-1,False,0395,0,False
attstab_depth,depth,,1,0.1875,3,397,395,True,4,spurious,-1,False,0395,1,False
attstab_depth,depth,,1,0.1875,3,391,395,True,6,spurious,-1,False,0395,2,False
attstab_depth,depth,,1,0.1875,3,39d,395,True,6,spurious,-1,False,0395,3,False
attstab_depth,depth,,1,0.1875,3,385,395,True,5,spurious,-1,False,0395,4,False
attstab_depth,depth,,1,0.1875,3,3b5,2b4,True,7,spurious,-1,False,0395,5,False
attstab_depth,depth,,1,0.1875,3,3d5,395,True,6,spurious,-1,False,0395,6,False
attstab_depth,depth,,1,0.1875,3,315,395,True,9,spurious,-1,False,0395,7,False
attstab_depth,depth,,1,0.1875,3,295,2b4,True,7,spurious,-1,False,0395,8,False
attstab_depth,depth,,1,0.1875,3,195,395,True,5,spurious,-1,False,0395,9,False
attstab_depth,depth,,1,0.1875,3,795,395,True,4,spurious,-1,False,0395,10,False
attstab_depth,depth,,1,0.0625,1,b95,1395,False,740,oscillated,-1,False,0395,11,False
attstab_depth,depth,,1,0.0625,1,1395,b95,False,740,oscillated,-1,False,0395,12,False
attstab_depth,depth,,1,0.1875,3,2395,395,True,4,spurious,-1,False,0395,13,False
attstab_depth,depth,,1,0.1875,3,4395,395,True,11,spurious,-1,False,0395,14,False
attstab_depth,depth,,1,0.1875,3,8395,395,True,4,spurious,-1,False,0395,15,False
attstab_depth,depth,,1,0.0625,1,1b94,58a4,True,21,spurious,-1,False,1b95,0,True
attstab_depth,depth,,1,0.0625,1,1b97,1b95,True,4,correct,1,True,1b95,1,True
attstab_depth,depth,,1,0.0625,1,1b91,1b95,True,6,correct,1,True,1b95,2,True
attstab_depth,depth,,1,0.0625,1,1b9d,1b95,True,6,correct,1,True,1b95,3,True
attstab_depth,depth,,1,0.0625,1,1b85,1b05,False,740,oscillated,-1,False,1b95,4,True
attstab_depth,depth,,1,0.0625,1,1bb5,58a4,True,21,spurious,-1,False,1b95,5,True
attstab_depth,depth,,1,0.0625,1,1bd5,1b95,True,6,correct,1,True,1b95,6,True
attstab_depth,depth,,1,0.0625,1,1b15,1b95,True,9,correct,1,True,1b95,7,True
attstab_depth,depth,,1,0.0625,1,1a95,58a4,True,21,spurious,-1,False,1b95,8,True
attstab_depth,depth,,1,0.0625,1,1995,1915,False,740,oscillated,-1,False,1b95,9,True
attstab_depth,depth,,1,0.0625,1,1f95,1b95,True,4,correct,1,True,1b95,10,True
attstab_depth,depth,,1,0.0625,1,1395,b95,False,740,oscillated,-1,False,1b95,11,True
attstab_depth,depth,,1,0.0625,1,b95,1395,False,740,oscillated,-1,False,1b95,12,True
attstab_depth,depth,,1,0.0625,1,3b95,1b95,True,4,correct,1,True,1b95,13,True
attstab_depth,depth,,1,0.0625,1,5b95,1905,True,13,spurious,-1,False,1b95,14,True
attstab_depth,depth,,1,0.0625,1,9b95,1b95,True,4,correct,1,True,1b95,15,True
attstab_depth,depth,,2,0.125,2,a796,a6b6,True,7,correct,2,True,a797,0,False
attstab_depth,depth,,2,0.25,4,a795,a797,True,4,spurious,-1,False,a797,1,False
attstab_depth,depth,,2,0.25,4,a793,a797,True,6,spurious,-1,False,a797,2,False
attstab_depth,depth,,2,0.25,4,a79f,a797,True,6,spurious,-1,False,a797,3,False
attstab_depth,depth,,2,0.25,4,a787,a797,True,5,spurious,-1,False,a797,4,False
attstab_depth,depth,,2,0.125,2,a7b7,a6b6,True,7,correct,2,True,a797,5,False
attstab_depth,depth,,2,0.25,4,a7d7,a797,True,6,spurious,-1,False,a797,6,False
attstab_depth,depth,,2,0.25,4,a717,a797,True,9,spurious,-1,False,a797,7,False
attstab_depth,depth,,2,0.125,2,a697,a6b6,True,7,correct,2,True,a797,8,False
attstab_depth,depth,,2,0.25,4,a597,a797,True,5,spurious,-1,False,a797,9,False
attstab_depth,depth,,2,0.25,4,a397,a797,True,4,spurious,-1,False,a797,10,False
attstab_depth,depth,,2,0.25,4,af97,b797,False,740,oscillated,-1,False,a797,11,False
attstab_depth,depth,,2,0.25,4,b797,af97,False,740,oscillated,-1,False,a797,12,False
attstab_depth,depth,,2,0.25,4,8797,a797,True,4,spurious,-1,False,a797,13,False
attstab_depth,depth,,2,0.25,4,e797,a797,True,11,spurious,-1,False,a797,14,False
attstab_depth,depth,,2,0.25,4,2797,a797,True,4,spurious,-1,False,a797,15,False
attstab_depth,depth,,3,0.25,4,bf96,fca6,True,21,wrong_pattern,0,False,bf97,0,False
attstab_depth,depth,,3,0.25,4,bf95,bf97,True,4,spurious,-1,False,bf97,1,False
attstab_depth,depth,,3,0.25,4,bf93,bf97,True,6,spurious,-1,False,bf97,2,False
attstab_depth,depth,,3,0.25,4,bf9f,bf97,True,6,spurious,-1,False,bf97,3,False
attstab_depth,depth,,3,0.125,2,bf87,bf07,False,740,oscillated,-1,False,bf97,4,False
attstab_depth,depth,,3,0.25,4,bfb7,fca6,True,21,wrong_pattern,0,False,bf97,5,False
attstab_depth,depth,,3,0.25,4,bfd7,bf97,True,6,spurious,-1,False,bf97,6,False
attstab_depth,depth,,3,0.125,2,bf17,bf97,True,9,spurious,-1,False,bf97,7,False
attstab_depth,depth,,3,0.25,4,be97,fca6,True,21,wrong_pattern,0,False,bf97,8,False
