experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,scheme,timeout_mult
r6b_colour6_x1,coloring,_colour6_x1,3,-1.0,6,d4d,4959,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,1194,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,11b5,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,1285,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,4,1287,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,1294,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,2,1295,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,1297,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,12b5,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,1384,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,2,1394,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,1396,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,13a5,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,3,13b4,12b4,False,1956,oscillated,-1,False,colour6,1
r6b_colour6_x1,coloring,_colour6_x1,1,-1.0,2,13b5,12b4,False,1956,oscillated,-1,False,colour6,1
