experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct,scheme,category,testset,delays,conflicts_G
r7_hd3,coloring,_perm00,0,0.0625,1,fca7,fca6,True,18,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.0625,1,fca4,fca6,True,12,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.0625,1,fca2,fca6,True,30,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.0625,1,fcae,fca6,True,24,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.0625,1,fcb6,fca6,True,30,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.0625,1,fc86,fca6,True,30,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.0625,1,fce6,fca6,True,14,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.0625,1,fc26,fca6,True,20,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.0625,1,fda6,fca6,True,24,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.0625,1,fea6,fca6,True,24,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.0625,1,f8a6,fca6,True,20,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.0625,1,f4a6,fca6,True,20,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.0625,1,eca6,fca6,True,18,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.0625,1,dca6,fca6,True,18,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.0625,1,bca6,fca6,True,12,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.0625,1,7ca6,fca6,True,30,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.125,2,fca5,fca6,True,18,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.125,2,fca3,fca6,True,30,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.125,2,fcaf,fca6,True,24,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.125,2,fcb7,fca6,True,30,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.125,2,fc87,fca6,True,47,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.125,2,fce7,fca6,True,18,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.125,2,fc27,fca6,True,20,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.125,2,fda7,fca6,True,24,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.125,2,fea7,fca6,True,24,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.125,2,f8a7,fca6,True,20,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.125,2,f4a7,fca6,True,20,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.125,2,eca7,fca6,True,18,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.125,2,dca7,fca6,True,18,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.125,2,bca7,fca6,True,18,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.125,2,7ca7,fca6,True,30,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.125,2,fca0,fca6,True,30,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
r7_hd3,coloring,_perm00,0,0.125,2,fcac,fca6,True,24,correct,0,True,perm00,colour+incommens,hd3,"[11, 19, 17, 29, 23, 13]",0
