experiment,mode,variant,pat_idx,eta,hamming_in,init_state,result_state,settled,settle_time,outcome,recalled_pat,correct
random_states,depth,,3,0.375,6,c585,9d05,False,740,oscillated,-1,False
random_states,depth,,0,0.25,4,cda7,fca6,True,7,correct,0,True
random_states,depth,,1,0.3125,5,1cd7,5ca6,False,740,oscillated,-1,False
random_states,depth,,3,0.125,2,b547,ed4b,False,740,oscillated,-1,False
random_states,depth,,2,0.375,6,2a0,2b4,True,6,spurious,-1,False
random_states,depth,,2,0.375,6,a52c,a75b,True,14,spurious,-1,False
random_states,depth,,2,0.5,8,c2eb,c2ea,False,740,oscillated,-1,False
random_states,depth,,1,0.4375,7,2889,42f8,True,17,spurious,-1,False
random_states,depth,,2,0.5,8,c22b,835b,False,740,oscillated,-1,False
random_states,depth,,1,0.4375,7,1fca,5ca6,False,740,oscillated,-1,False
random_states,depth,,3,0.1875,3,ed47,fd4b,True,17,spurious,-1,False
random_states,depth,,3,0.375,6,7941,5949,True,6,spurious,-1,False
random_states,depth,,0,0.25,4,9eae,fca6,True,15,correct,0,True
random_states,depth,,3,0.4375,7,f30c,b905,False,740,oscillated,-1,False
random_states,depth,,2,0.375,6,82ef,c2fa,False,740,oscillated,-1,False
random_states,depth,,3,0.4375,7,eb5f,fd4b,True,17,spurious,-1,False
random_states,depth,,2,0.375,6,456,75b,False,740,oscillated,-1,False
random_states,depth,,1,0.4375,7,abf9,e2f8,False,740,oscillated,-1,False
random_states,depth,,3,0.375,6,a121,a359,False,740,oscillated,-1,False
random_states,depth,,0,0.375,6,fe70,fc6a,True,6,spurious,-1,False
random_states,depth,,0,0.3125,5,cfe6,fca6,True,16,correct,0,True
random_states,depth,,0,0.375,6,60aa,786a,False,740,oscillated,-1,False
random_states,depth,,3,0.3125,5,cd0e,fd4b,True,17,spurious,-1,False
random_states,depth,,0,0.5,8,d0fd,58a4,True,21,spurious,-1,False
random_states,depth,,0,0.375,6,f1a1,f8a4,False,740,oscillated,-1,False
random_states,depth,,1,0.3125,5,ca9d,12b4,False,740,oscillated,-1,False
random_states,depth,,3,0.3125,5,b48d,a6b6,True,17,wrong_pattern,2,False
random_states,depth,,2,0.1875,3,a627,a797,True,9,spurious,-1,False
random_states,depth,,3,0.3125,5,bb12,a797,True,9,spurious,-1,False
random_states,depth,,1,0.375,6,cb1,2b4,True,17,spurious,-1,False
random_states,depth,,3,0.3125,5,8f45,8759,False,740,oscillated,-1,False
random_states,depth,,1,0.5,8,4598,42f8,True,15,spurious,-1,False
random_states,depth,,3,0.4375,7,6005,5949,True,7,spurious,-1,False
random_states,depth,,0,0.4375,7,7fd2,fca6,True,14,correct,0,True
random_states,depth,,3,0.4375,7,7f5b,fd4b,True,5,spurious,-1,False
random_states,depth,,3,0.375,6,d41f,bd07,True,16,correct,3,True
random_states,depth,,0,0.5,8,7760,6d49,False,740,oscillated,-1,False
random_states,depth,,2,0.125,2,a632,e6fa,True,21,spurious,-1,False
random_states,depth,,0,0.25,4,e82e,fc6a,True,21,spurious,-1,False
random_states,depth,,1,0.4375,7,4590,42f8,True,16,spurious,-1,False
random_states,depth,,1,0.375,6,33a3,2ab6,False,740,oscillated,-1,False
random_states,depth,,0,0.4375,7,9aab,d8a6,False,740,oscillated,-1,False
random_states,depth,,3,0.3125,5,ac4b,f54b,False,740,oscillated,-1,False
random_states,depth,,1,0.4375,7,1dfb,5ca6,False,740,oscillated,-1,False
random_states,depth,,2,0.375,6,f2bb,aeb6,False,740,oscillated,-1,False
random_states,depth,,0,0.375,6,ce04,9d05,False,740,oscillated,-1,False
random_states,depth,,2,0.3125,5,ce16,bd07,True,15,wrong_pattern,3,False
random_states,depth,,0,0.4375,7,7588,7ca4,False,740,oscillated,-1,False
random_states,depth,,0,0.375,6,6c9a,fca6,True,21,correct,0,True
random_states,depth,,0,0.3125,5,ded6,fca6,True,6,correct,0,True
random_states,depth,,3,0.4375,7,1763,75b,False,740,oscillated,-1,False
random_states,depth,,0,0.4375,7,703c,5868,True,21,spurious,-1,False
random_states,depth,,0,0.375,6,31a4,58a4,True,23,spurious,-1,False
random_states,depth,,1,0.5625,9,81c8,42f8,True,15,spurious,-1,False
random_states,depth,,0,0.4375,7,7fd2,fca6,True,14,correct,0,True
random_states,depth,,0,0.4375,7,e9eb,f46a,False,740,oscillated,-1,False
random_states,depth,,1,0.5,8,5ed,2b4,True,18,spurious,-1,False
random_states,depth,,1,0.375,6,137,395,True,9,spurious,-1,False
random_states,depth,,2,0.375,6,e2dc,e2f8,False,740,oscillated,-1,False
random_states,depth,,1,0.4375,7,9499,c6f8,False,740,oscillated,-1,False
random_states,depth,,1,0.4375,7,db29,5949,True,6,spurious,-1,False
random_states,depth,,3,0.3125,5,ed8b,bd07,True,16,correct,3,True
random_states,depth,,0,0.375,6,68ec,58a4,True,11,spurious,-1,False
random_states,depth,,2,0.4375,7,2f38,2759,False,740,oscillated,-1,False
random_states,depth,,0,0.4375,7,7a28,5868,True,6,spurious,-1,False
random_states,depth,,2,0.4375,7,a66,58a4,True,30,spurious,-1,False
random_states,depth,,3,0.25,4,5d47,5d4b,False,740,oscillated,-1,False
random_states,depth,,1,0.375,6,1ef0,2b4,True,7,spurious,-1,False
random_states,depth,,0,0.4375,7,11a2,2b4,True,17,spurious,-1,False
random_states,depth,,1,0.375,6,3b6d,1905,True,15,spurious,-1,False
random_states,depth,,0,0.4375,7,6f2c,3d05,False,740,oscillated,-1,False
random_states,depth,,1,0.375,6,a191,a395,False,740,oscillated,-1,False
random_states,depth,,1,0.25,4,1b5,2b4,True,7,spurious,-1,False
random_states,depth,,0,0.375,6,5862,5868,True,6,spurious,-1,False
random_states,depth,,2,0.375,6,e0d7,e6fa,True,16,spurious,-1,False
random_states,depth,,0,0.25,4,dc64,dc24,False,740,oscillated,-1,False
random_states,depth,,1,0.4375,7,be8,42f8,True,13,spurious,-1,False
random_states,depth,,1,0.375,6,4b59,359,True,23,spurious,-1,False
random_states,depth,,3,0.25,4,bc09,bd07,True,16,correct,3,True
random_states,depth,,1,0.4375,7,e59,359,True,7,spurious,-1,False
random_states,depth,,1,0.3125,5,9c7,395,True,17,spurious,-1,False
random_states,depth,,1,0.375,6,43d9,359,True,11,spurious,-1,False
random_states,depth,,2,0.1875,3,26b3,a6b6,True,6,correct,2,True
random_states,depth,,0,0.4375,7,7c18,7d49,False,740,oscillated,-1,False
random_states,depth,,2,0.4375,7,e0dc,e0f8,False,740,oscillated,-1,False
random_states,depth,,2,0.5,8,a970,a359,False,740,oscillated,-1,False
random_states,depth,,2,0.5,8,f21b,fd4b,True,17,spurious,-1,False
