rule,update_mode,dataset,N,M,load,noise_frac,noise_k,recall_accuracy,basin_width,spurious_rate,mean_convergence_iters,converged_fraction
hebbian,1,random,6,1,0.1667,0.0,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,6,1,0.1667,0.05,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,6,1,0.1667,0.1,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,6,1,0.1667,0.15,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,6,1,0.1667,0.2,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,6,1,0.1667,0.25,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,6,1,0.1667,0.3,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,6,1,0.1667,0.35,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,6,1,0.1667,0.4,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,6,2,0.3333,0.0,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,6,2,0.3333,0.05,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,6,2,0.3333,0.1,1,0.82,0,0.0,2.0,1.0
hebbian,1,random,6,2,0.3333,0.15,1,0.8,0,0.0,2.0,1.0
hebbian,1,random,6,2,0.3333,0.2,1,0.88,0,0.0,2.0,1.0
hebbian,1,random,6,2,0.3333,0.25,2,0.52,0,0.0,1.9,1.0
hebbian,1,random,6,2,0.3333,0.3,2,0.6,0,0.0,1.94,1.0
hebbian,1,random,6,2,0.3333,0.35,2,0.4,0,0.0,1.94,1.0
hebbian,1,random,6,2,0.3333,0.4,2,0.42,0,0.0,1.96,1.0
hebbian,1,random,8,1,0.125,0.0,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,8,1,0.125,0.05,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,8,1,0.125,0.1,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,8,1,0.125,0.15,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,8,1,0.125,0.2,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,8,1,0.125,0.25,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,8,1,0.125,0.3,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,8,1,0.125,0.35,3,1.0,3,0.0,2.0,1.0
hebbian,1,random,8,1,0.125,0.4,3,1.0,3,0.0,2.0,1.0
hebbian,1,random,8,2,0.25,0.0,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,8,2,0.25,0.05,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,8,2,0.25,0.1,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,8,2,0.25,0.15,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,8,2,0.25,0.2,2,0.94,2,0.0,2.0,1.0
hebbian,1,random,8,2,0.25,0.25,2,0.94,2,0.0,2.0,1.0
hebbian,1,random,8,2,0.25,0.3,2,0.9,2,0.0,2.0,1.0
hebbian,1,random,8,2,0.25,0.35,3,0.68,2,0.0,1.98,1.0
hebbian,1,random,8,2,0.25,0.4,3,0.52,2,0.0,1.98,1.0
hebbian,1,random,8,3,0.375,0.0,0,0.34,0,0.79,1.66,1.0
hebbian,1,random,8,3,0.375,0.05,0,0.2,0,0.79,1.8,1.0
hebbian,1,random,8,3,0.375,0.1,1,0.28,0,0.79,2.04,1.0
hebbian,1,random,8,3,0.375,0.15,1,0.2,0,0.79,2.06,1.0
hebbian,1,random,8,3,0.375,0.2,2,0.14,0,0.79,2.14,1.0
hebbian,1,random,8,3,0.375,0.25,2,0.18,0,0.79,2.06,1.0
hebbian,1,random,8,3,0.375,0.3,2,0.12,0,0.79,2.2,1.0
hebbian,1,random,8,3,0.375,0.35,3,0.06,0,0.79,2.32,1.0
hebbian,1,random,8,3,0.375,0.4,3,0.08,0,0.79,2.22,1.0
hebbian,1,random,10,1,0.1,0.0,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,10,1,0.1,0.05,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,10,1,0.1,0.1,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,10,1,0.1,0.15,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,10,1,0.1,0.2,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,10,1,0.1,0.25,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,10,1,0.1,0.3,3,1.0,3,0.0,2.0,1.0
hebbian,1,random,10,1,0.1,0.35,4,1.0,4,0.0,2.0,1.0
hebbian,1,random,10,1,0.1,0.4,4,1.0,4,0.0,2.0,1.0
hebbian,1,random,10,2,0.2,0.0,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,10,2,0.2,0.05,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,10,2,0.2,0.1,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,10,2,0.2,0.15,2,0.98,2,0.0,2.0,1.0
hebbian,1,random,10,2,0.2,0.2,2,0.96,2,0.0,2.0,1.0
hebbian,1,random,10,2,0.2,0.25,2,0.98,2,0.0,2.0,1.0
hebbian,1,random,10,2,0.2,0.3,3,0.82,2,0.0,2.0,1.0
hebbian,1,random,10,2,0.2,0.35,4,0.36,2,0.0,2.0,1.0
hebbian,1,random,10,2,0.2,0.4,4,0.38,2,0.0,2.0,1.0
hebbian,1,random,10,3,0.3,0.0,0,1.0,0,0.15,1.0,1.0
hebbian,1,random,10,3,0.3,0.05,0,1.0,0,0.15,1.0,1.0
hebbian,1,random,10,3,0.3,0.1,1,0.86,0,0.15,2.0,1.0
hebbian,1,random,10,3,0.3,0.15,2,0.64,0,0.15,2.02,1.0
hebbian,1,random,10,3,0.3,0.2,2,0.76,0,0.15,2.0,1.0
hebbian,1,random,10,3,0.3,0.25,2,0.62,0,0.15,2.0,1.0
hebbian,1,random,10,3,0.3,0.3,3,0.4,0,0.15,2.12,1.0
hebbian,1,random,10,3,0.3,0.35,4,0.18,0,0.15,2.08,1.0
hebbian,1,random,10,3,0.3,0.4,4,0.2,0,0.15,2.16,1.0
hebbian,1,random,12,1,0.0833,0.0,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,12,1,0.0833,0.05,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,12,1,0.0833,0.1,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,12,1,0.0833,0.15,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,12,1,0.0833,0.2,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,12,1,0.0833,0.25,3,1.0,3,0.0,2.0,1.0
hebbian,1,random,12,1,0.0833,0.3,4,1.0,4,0.0,2.0,1.0
hebbian,1,random,12,1,0.0833,0.35,4,1.0,4,0.0,2.0,1.0
hebbian,1,random,12,1,0.0833,0.4,5,1.0,5,0.0,2.0,1.0
hebbian,1,random,12,2,0.1667,0.0,0,1.0,0,0.0,1.0,1.0
hebbian,1,random,12,2,0.1667,0.05,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,12,2,0.1667,0.1,1,1.0,1,0.0,2.0,1.0
hebbian,1,random,12,2,0.1667,0.15,2,1.0,2,0.0,2.0,1.0
hebbian,1,random,12,2,0.1667,0.2,2,0.98,2,0.0,2.0,1.0
hebbian,1,random,12,2,0.1667,0.25,3,0.86,2,0.0,2.0,1.0
hebbian,1,random,12,2,0.1667,0.3,4,0.74,2,0.0,2.0,1.0
hebbian,1,random,12,2,0.1667,0.35,4,0.64,2,0.0,1.96,1.0
